--------------------------------------------------
Population # 75 | Best: 876.11 Avg: 877.55, Worst: 878.38 
--------------------------------------------------
Individual #0 [0, 20, 0, 2, 1, 2, 1, 2, 2, 1, 1, 2, 2, 0, 1, 1, 1, 0, 0, 1, 2, 1, 2, 1, 0, 1, 0, 1, 2, 0, 1, 0, 1, 2, 0, 2, 1, 1, 0, 0, 2, 2, 0, 2, 2, 0, 2, 2, 0, 2, 1, 0, 1, 0, 1, 2, 0, 2, 2, 0, 1, 2, 1, 1, 2, 1, 1, 1, 1, 2, 2, 2, 1, 2, 2, 2, 1, 2, 1, 2, 2, 2, 2, 1, 1, 1, 1, 2, 0, 1, 0, 2, 2, 0, 1, 2, 0, 0, 2, 2, 1, 2, 0, 0, 2, 1, 0, 1, 0, 2, 2, 1, 1, 2, 1, 0, 0, 1, 0, 0, 2, 0, 2, 1, 0, 2, 1, 2, 0, 2, 1, 0, 0, 2, 0, 0, 1, 0, 1, 1, 1, 1, 2, 0, 0, 2, 1, 0, 2, 2, 0, 2] |Fitness: 876.11
Individual #1 [0, 20, 0, 2, 1, 2, 1, 2, 2, 1, 1, 2, 2, 0, 1, 1, 0, 0, 0, 1, 2, 1, 2, 1, 0, 1, 0, 1, 2, 0, 1, 0, 1, 2, 0, 2, 1, 1, 0, 0, 2, 2, 0, 2, 2, 0, 1, 0, 0, 2, 1, 0, 1, 0, 1, 2, 0, 2, 2, 0, 1, 2, 1, 1, 2, 1, 1, 1, 1, 2, 2, 2, 1, 2, 2, 2, 1, 2, 1, 2, 2, 2, 2, 1, 1, 1, 1, 2, 0, 1, 0, 2, 2, 0, 1, 2, 0, 0, 2, 2, 1, 2, 0, 0, 2, 1, 0, 1, 0, 2, 2, 1, 1, 2, 1, 0, 0, 1, 0, 0, 2, 0, 2, 1, 0, 2, 1, 2, 0, 2, 1, 0, 0, 2, 0, 0, 1, 0, 1, 1, 1, 1, 2, 0, 0, 2, 1, 0, 2, 2, 0, 2] |Fitness: 876.25
Individual #2 [0, 20, 0, 2, 1, 2, 1, 2, 2, 1, 1, 2, 2, 0, 1, 1, 0, 0, 0, 1, 2, 1, 2, 1, 0, 1, 0, 1, 2, 0, 1, 0, 1, 2, 0, 2, 1, 1, 0, 0, 2, 2, 0, 2, 2, 0, 2, 2, 0, 2, 1, 0, 1, 0, 1, 2, 0, 2, 2, 0, 1, 2, 1, 1, 2, 1, 1, 1, 1, 2, 2, 2, 1, 2, 2, 2, 1, 2, 1, 2, 2, 2, 2, 1, 1, 1, 1, 2, 0, 1, 0, 2, 2, 0, 1, 2, 0, 0, 2, 2, 1, 2, 0, 0, 2, 1, 0, 1, 0, 2, 2, 1, 1, 2, 1, 0, 0, 1, 0, 0, 2, 0, 2, 1, 0, 2, 1, 2, 0, 2, 1, 0, 0, 2, 0, 0, 1, 0, 1, 1, 1, 1, 2, 0, 0, 2, 1, 0, 2, 2, 0, 2] |Fitness: 876.83
Individual #3 [0, 20, 0, 2, 1, 2, 1, 2, 2, 1, 1, 2, 2, 0, 1, 1, 0, 0, 0, 1, 2, 1, 2, 1, 0, 1, 0, 1, 2, 0, 1, 0, 1, 2, 0, 2, 1, 1, 0, 0, 2, 2, 0, 2, 2, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 2, 0, 2, 2, 0, 1, 2, 1, 1, 2, 1, 1, 1, 1, 2, 2, 2, 1, 2, 2, 2, 1, 2, 1, 2, 2, 2, 2, 1, 1, 1, 1, 2, 0, 1, 0, 2, 2, 0, 1, 2, 0, 0, 2, 2, 1, 2, 0, 0, 2, 1, 0, 1, 0, 2, 2, 1, 1, 2, 1, 0, 0, 1, 0, 0, 2, 0, 2, 1, 0, 2, 1, 2, 0, 2, 1, 0, 0, 2, 0, 0, 1, 0, 1, 1, 1, 1, 2, 0, 0, 2, 1, 0, 2, 2, 0, 2] |Fitness: 877.66
Individual #4 [0, 20, 0, 2, 1, 2, 1, 2, 2, 1, 1, 2, 2, 0, 1, 1, 1, 0, 0, 1, 2, 1, 2, 1, 0, 1, 0, 1, 2, 0, 1, 0, 1, 2, 0, 2, 1, 1, 0, 0, 2, 2, 0, 2, 2, 0, 1, 0, 0, 2, 1, 0, 1, 0, 1, 2, 0, 2, 2, 0, 1, 2, 1, 1, 2, 1, 1, 1, 1, 2, 2, 2, 1, 2, 2, 2, 1, 2, 1, 2, 2, 2, 2, 1, 1, 1, 1, 2, 0, 1, 0, 2, 2, 0, 1, 2, 0, 0, 2, 2, 1, 2, 0, 0, 2, 1, 0, 1, 0, 2, 2, 1, 1, 2, 1, 0, 0, 1, 0, 0, 2, 0, 2, 1, 0, 2, 1, 2, 0, 2, 1, 0, 0, 2, 0, 0, 1, 0, 1, 1, 1, 1, 2, 0, 0, 2, 1, 0, 2, 2, 0, 2] |Fitness: 877.84
Individual #5 [0, 20, 0, 2, 1, 2, 1, 2, 2, 1, 1, 2, 2, 0, 1, 0, 0, 0, 0, 1, 2, 1, 2, 1, 0, 1, 0, 1, 2, 0, 1, 0, 1, 2, 0, 2, 1, 1, 0, 0, 2, 2, 0, 2, 2, 0, 1, 0, 0, 2, 1, 0, 1, 0, 1, 2, 0, 2, 2, 0, 1, 2, 1, 1, 2, 1, 1, 1, 1, 2, 2, 2, 1, 2, 2, 2, 1, 2, 1, 2, 2, 2, 2, 1, 1, 1, 1, 2, 0, 1, 0, 2, 2, 0, 1, 2, 0, 0, 2, 2, 1, 2, 0, 0, 2, 1, 0, 1, 0, 2, 2, 1, 1, 2, 1, 0, 0, 1, 0, 0, 2, 0, 2, 1, 0, 2, 1, 2, 0, 2, 1, 0, 0, 2, 0, 0, 1, 0, 1, 1, 1, 1, 2, 0, 0, 2, 1, 0, 2, 2, 0, 2] |Fitness: 877.88
Individual #6 [0, 20, 0, 2, 1, 2, 1, 2, 2, 1, 1, 2, 2, 0, 1, 1, 1, 0, 0, 1, 2, 1, 2, 1, 0, 1, 0, 1, 2, 0, 1, 0, 1, 2, 0, 2, 1, 1, 0, 0, 2, 2, 0, 2, 2, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 2, 0, 2, 2, 0, 1, 2, 1, 1, 2, 1, 1, 1, 1, 2, 2, 2, 1, 2, 2, 2, 1, 2, 1, 2, 2, 2, 2, 1, 1, 1, 1, 2, 0, 1, 0, 2, 2, 0, 1, 2, 0, 0, 2, 2, 1, 2, 0, 0, 2, 1, 0, 1, 0, 2, 2, 1, 1, 2, 1, 0, 0, 1, 0, 0, 2, 0, 2, 1, 0, 2, 1, 2, 0, 2, 1, 0, 0, 2, 0, 0, 1, 0, 1, 1, 1, 1, 2, 0, 0, 2, 1, 0, 2, 2, 0, 2] |Fitness: 878.0
Individual #7 [0, 20, 0, 2, 1, 2, 1, 2, 2, 1, 1, 2, 2, 0, 1, 0, 0, 0, 0, 1, 2, 1, 2, 1, 0, 1, 0, 1, 2, 0, 1, 0, 1, 2, 0, 2, 1, 1, 0, 0, 2, 2, 0, 2, 2, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 2, 0, 2, 2, 0, 1, 2, 1, 1, 2, 1, 1, 1, 1, 2, 2, 2, 1, 2, 2, 2, 1, 2, 1, 2, 2, 2, 2, 1, 1, 1, 1, 2, 0, 1, 0, 2, 2, 0, 1, 2, 0, 0, 2, 2, 1, 2, 0, 0, 2, 1, 0, 1, 0, 2, 2, 1, 1, 2, 1, 0, 0, 1, 0, 0, 2, 0, 2, 1, 0, 2, 1, 2, 0, 2, 1, 0, 0, 2, 0, 0, 1, 0, 1, 1, 1, 1, 2, 0, 0, 2, 1, 0, 2, 2, 0, 2] |Fitness: 878.23
Individual #8 [0, 20, 0, 2, 1, 2, 1, 2, 2, 1, 1, 2, 2, 0, 1, 1, 1, 0, 0, 1, 2, 1, 2, 1, 0, 1, 0, 1, 2, 0, 1, 0, 1, 2, 0, 2, 1, 1, 0, 0, 2, 2, 0, 2, 2, 0, 1, 0, 0, 2, 1, 1, 1, 0, 1, 2, 0, 2, 2, 0, 1, 2, 1, 1, 2, 1, 1, 1, 1, 2, 2, 2, 1, 2, 2, 2, 1, 2, 1, 2, 2, 2, 2, 1, 1, 1, 1, 2, 0, 1, 0, 2, 2, 0, 1, 2, 0, 0, 2, 2, 1, 2, 0, 0, 2, 1, 0, 1, 0, 2, 2, 1, 1, 2, 1, 0, 0, 1, 0, 0, 2, 0, 2, 1, 0, 2, 1, 2, 0, 2, 1, 0, 0, 2, 0, 0, 1, 0, 1, 1, 1, 1, 2, 0, 0, 2, 1, 0, 2, 2, 0, 2] |Fitness: 878.36
Individual #9 [0, 20, 0, 2, 1, 2, 1, 2, 2, 1, 1, 2, 2, 0, 1, 0, 0, 0, 0, 1, 2, 1, 2, 1, 0, 1, 0, 1, 2, 0, 1, 0, 1, 2, 0, 2, 1, 1, 0, 0, 2, 2, 0, 2, 2, 0, 2, 2, 0, 2, 1, 0, 1, 0, 1, 2, 0, 2, 2, 0, 1, 2, 1, 1, 2, 1, 1, 1, 1, 2, 2, 2, 1, 2, 2, 2, 1, 2, 1, 2, 2, 2, 2, 1, 1, 1, 1, 2, 0, 1, 0, 2, 2, 0, 1, 2, 0, 0, 2, 2, 1, 2, 0, 0, 2, 1, 0, 1, 0, 2, 2, 1, 1, 2, 1, 0, 0, 1, 0, 0, 2, 0, 2, 1, 0, 2, 1, 2, 0, 2, 1, 0, 0, 2, 0, 0, 1, 0, 1, 1, 1, 1, 2, 0, 0, 2, 1, 0, 2, 2, 0, 2] |Fitness: 878.38
