--------------------------------------------------
Population # 50 | Best: 1270.814 Avg: 1271.57, Worst: 1272.08 
--------------------------------------------------
Individual #0 [3, 18, 1, 0, 1, 0, 0, 1, 0, 2, 0, 0, 1, 2, 0, 1, 2, 1, 0, 2, 2, 2, 2, 2, 1, 2, 0, 0, 1, 0, 1, 1, 0, 2, 2, 0, 2, 0, 1, 1, 1, 1, 1, 2, 1, 0, 1, 1, 2, 0, 2, 1, 2, 0, 2, 2, 0, 1, 2, 2, 2, 2, 1, 1, 0, 1, 2, 0, 1, 2, 2, 1, 2, 1, 0, 1, 2, 1, 0, 0, 2, 0, 0, 2, 0, 1, 1, 1, 2, 0, 0, 1, 2, 1, 0, 0, 1, 0, 0, 2, 0, 2, 1, 0, 2, 1, 2, 0, 2, 1, 2, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 2, 0, 0, 1, 0, 0, 2, 2, 0, 2, 0, 0, 1, 0, 1, 1, 2, 2, 0, 1, 2, 0, 0, 1, 1, 2, 2, 0, 1, 2, 2, 1, 2, 2, 0, 2, 1, 1, 2, 1, 1, 2, 0, 0, 2, 2, 0, 0, 2, 2, 0, 1, 0, 1, 0, 1, 0, 0, 2, 1, 0, 1, 0, 2, 0, 0, 0, 1, 1, 2, 0, 1, 2, 2, 0, 1, 0, 2, 2, 0, 0] |Fitness: 1270.81
Individual #1 [3, 18, 1, 0, 1, 0, 0, 0, 0, 2, 0, 2, 1, 2, 0, 1, 2, 1, 0, 2, 2, 2, 2, 2, 1, 2, 0, 0, 1, 0, 1, 1, 0, 2, 2, 0, 2, 0, 1, 1, 1, 1, 1, 2, 1, 0, 1, 1, 2, 0, 2, 1, 2, 0, 2, 2, 0, 1, 2, 2, 2, 2, 1, 1, 0, 1, 2, 0, 1, 2, 2, 1, 2, 1, 0, 1, 2, 1, 0, 0, 2, 0, 0, 2, 0, 1, 1, 1, 2, 0, 0, 1, 2, 1, 0, 0, 1, 0, 0, 2, 0, 2, 1, 0, 2, 1, 2, 0, 2, 1, 2, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 2, 0, 0, 1, 0, 0, 2, 2, 0, 2, 0, 0, 1, 0, 1, 1, 2, 2, 0, 1, 2, 0, 0, 1, 1, 2, 2, 0, 1, 2, 2, 1, 2, 2, 0, 2, 1, 1, 2, 1, 1, 2, 0, 0, 2, 2, 0, 0, 2, 2, 0, 1, 0, 1, 0, 1, 0, 0, 2, 1, 0, 1, 0, 2, 0, 0, 0, 1, 1, 2, 0, 1, 2, 2, 0, 1, 0, 2, 2, 0, 0] |Fitness: 1270.99
Individual #2 [3, 18, 1, 0, 1, 0, 0, 0, 0, 2, 0, 0, 1, 2, 2, 1, 1, 0, 0, 2, 2, 2, 2, 2, 1, 2, 0, 0, 1, 0, 1, 1, 0, 2, 2, 0, 2, 0, 1, 1, 1, 1, 1, 2, 1, 0, 1, 1, 2, 0, 2, 1, 2, 0, 2, 2, 0, 1, 2, 2, 2, 2, 1, 1, 0, 1, 2, 0, 1, 2, 2, 1, 2, 1, 0, 1, 2, 1, 0, 0, 2, 0, 0, 2, 0, 1, 1, 1, 2, 0, 0, 1, 2, 1, 0, 0, 1, 0, 0, 2, 0, 2, 1, 0, 2, 1, 2, 0, 2, 1, 2, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 2, 0, 0, 1, 0, 0, 2, 2, 0, 2, 0, 0, 1, 0, 1, 1, 2, 2, 0, 1, 2, 0, 0, 1, 1, 2, 2, 0, 1, 2, 2, 1, 2, 2, 0, 2, 1, 1, 2, 1, 1, 2, 0, 0, 2, 2, 0, 0, 2, 2, 0, 1, 0, 1, 0, 1, 0, 0, 2, 1, 0, 1, 0, 2, 0, 0, 0, 1, 1, 2, 0, 1, 2, 2, 0, 1, 0, 2, 2, 0, 0] |Fitness: 1271.02
Individual #3 [3, 18, 1, 2, 1, 0, 0, 1, 0, 2, 0, 0, 1, 2, 0, 1, 2, 1, 0, 2, 2, 2, 2, 2, 1, 2, 0, 0, 1, 0, 1, 1, 0, 2, 2, 0, 2, 0, 1, 1, 1, 1, 1, 2, 1, 0, 1, 1, 2, 0, 2, 1, 2, 0, 2, 2, 0, 1, 2, 2, 2, 2, 1, 1, 0, 1, 2, 0, 1, 2, 2, 1, 2, 1, 0, 1, 2, 1, 0, 0, 2, 0, 0, 2, 0, 1, 1, 1, 2, 0, 0, 1, 2, 1, 0, 0, 1, 0, 0, 2, 0, 2, 1, 0, 2, 1, 2, 0, 2, 1, 2, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 2, 0, 0, 1, 0, 0, 2, 2, 0, 2, 0, 0, 1, 0, 1, 1, 2, 2, 0, 1, 2, 0, 0, 1, 1, 2, 2, 0, 1, 2, 2, 1, 2, 2, 0, 2, 1, 1, 2, 1, 1, 2, 0, 0, 2, 2, 0, 0, 2, 2, 0, 1, 0, 1, 0, 1, 0, 0, 2, 1, 0, 1, 0, 2, 0, 0, 0, 1, 1, 2, 0, 1, 2, 2, 0, 1, 0, 2, 2, 0, 0] |Fitness: 1271.43
Individual #4 [3, 18, 1, 2, 1, 0, 0, 0, 0, 2, 0, 0, 1, 2, 2, 1, 1, 0, 0, 2, 2, 2, 2, 2, 1, 2, 0, 0, 1, 0, 1, 1, 0, 2, 2, 0, 2, 0, 1, 1, 1, 1, 1, 2, 1, 0, 1, 1, 2, 0, 2, 1, 2, 0, 2, 2, 0, 1, 2, 2, 2, 2, 1, 1, 0, 1, 2, 0, 1, 2, 2, 1, 2, 1, 0, 1, 2, 1, 0, 0, 2, 0, 0, 2, 0, 1, 1, 1, 2, 0, 0, 1, 2, 1, 0, 0, 1, 0, 0, 2, 0, 2, 1, 0, 2, 1, 2, 0, 2, 1, 2, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 2, 0, 0, 1, 0, 0, 2, 2, 0, 2, 0, 0, 1, 0, 1, 1, 2, 2, 0, 1, 2, 0, 0, 1, 1, 2, 2, 0, 1, 2, 2, 1, 2, 2, 0, 2, 1, 1, 2, 1, 1, 2, 0, 0, 2, 2, 0, 0, 2, 2, 0, 1, 0, 1, 0, 1, 0, 0, 2, 1, 0, 1, 0, 2, 0, 0, 0, 1, 1, 2, 0, 1, 2, 2, 0, 1, 0, 2, 2, 0, 0] |Fitness: 1271.64
Individual #5 [3, 18, 1, 2, 1, 0, 0, 1, 0, 2, 0, 0, 1, 2, 2, 1, 1, 0, 0, 2, 2, 2, 2, 2, 1, 2, 0, 0, 1, 0, 1, 1, 0, 2, 2, 0, 2, 0, 1, 1, 1, 1, 1, 2, 1, 0, 1, 1, 2, 0, 2, 1, 2, 0, 2, 2, 0, 1, 2, 2, 2, 2, 1, 1, 0, 1, 2, 0, 1, 2, 2, 1, 2, 1, 0, 1, 2, 1, 0, 0, 2, 0, 0, 2, 0, 1, 1, 1, 2, 0, 0, 1, 2, 1, 0, 0, 1, 0, 0, 2, 0, 2, 1, 0, 2, 1, 2, 0, 2, 1, 2, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 2, 0, 0, 1, 0, 0, 2, 2, 0, 2, 0, 0, 1, 0, 1, 1, 2, 2, 0, 1, 2, 0, 0, 1, 1, 2, 2, 0, 1, 2, 2, 1, 2, 2, 0, 2, 1, 1, 2, 1, 1, 2, 0, 0, 2, 2, 0, 0, 2, 2, 0, 1, 0, 1, 0, 1, 0, 0, 2, 1, 0, 1, 0, 2, 0, 0, 0, 1, 1, 2, 0, 1, 2, 2, 0, 1, 0, 2, 2, 0, 0] |Fitness: 1271.78
Individual #6 [3, 18, 1, 2, 1, 0, 0, 1, 0, 2, 0, 2, 1, 2, 0, 1, 2, 1, 0, 2, 2, 2, 2, 2, 1, 2, 0, 0, 1, 0, 1, 1, 0, 2, 2, 0, 2, 0, 1, 1, 1, 1, 1, 2, 1, 0, 1, 1, 2, 0, 2, 1, 2, 0, 2, 2, 0, 1, 2, 2, 2, 2, 1, 1, 0, 1, 2, 0, 1, 2, 2, 1, 2, 1, 0, 1, 2, 1, 0, 0, 2, 0, 0, 2, 0, 1, 1, 1, 2, 0, 0, 1, 2, 1, 0, 0, 1, 0, 0, 2, 0, 2, 1, 0, 2, 1, 2, 0, 2, 1, 2, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 2, 0, 0, 1, 0, 0, 2, 2, 0, 2, 0, 0, 1, 0, 1, 1, 2, 2, 0, 1, 2, 0, 0, 1, 1, 2, 2, 0, 1, 2, 2, 1, 2, 2, 0, 2, 1, 1, 2, 1, 1, 2, 0, 0, 2, 2, 0, 0, 2, 2, 0, 1, 0, 1, 0, 1, 0, 0, 2, 1, 0, 1, 0, 2, 0, 0, 0, 1, 1, 2, 0, 1, 2, 2, 0, 1, 0, 2, 2, 0, 0] |Fitness: 1271.94
Individual #7 [3, 18, 1, 0, 1, 0, 0, 0, 0, 2, 0, 2, 1, 2, 0, 1, 2, 1, 0, 2, 2, 2, 2, 2, 1, 2, 0, 0, 1, 0, 1, 1, 0, 2, 2, 0, 2, 0, 1, 1, 1, 1, 1, 2, 1, 0, 1, 1, 2, 0, 2, 1, 2, 0, 2, 2, 0, 1, 2, 2, 2, 2, 1, 1, 0, 1, 2, 0, 1, 2, 2, 1, 2, 1, 0, 1, 2, 1, 0, 0, 2, 0, 0, 2, 0, 1, 1, 1, 2, 0, 0, 1, 2, 1, 0, 0, 1, 0, 0, 2, 0, 2, 1, 0, 2, 1, 2, 0, 2, 1, 2, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 2, 0, 0, 1, 0, 0, 2, 2, 0, 2, 1, 0, 1, 0, 1, 1, 2, 2, 0, 1, 2, 0, 1, 1, 1, 2, 2, 0, 1, 2, 2, 1, 2, 2, 0, 2, 1, 1, 2, 1, 1, 2, 0, 0, 2, 2, 0, 0, 2, 2, 0, 1, 0, 1, 0, 1, 0, 0, 2, 1, 0, 1, 0, 2, 0, 0, 0, 1, 1, 2, 0, 1, 2, 2, 0, 1, 0, 2, 2, 0, 0] |Fitness: 1271.98
Individual #8 [3, 18, 1, 0, 1, 0, 0, 0, 0, 2, 0, 0, 1, 2, 2, 1, 1, 0, 0, 2, 2, 2, 2, 2, 1, 2, 0, 0, 1, 0, 1, 1, 0, 2, 2, 0, 2, 0, 1, 1, 1, 1, 1, 2, 1, 0, 1, 1, 2, 0, 2, 1, 2, 0, 2, 2, 0, 1, 2, 2, 2, 2, 1, 1, 0, 1, 2, 0, 1, 2, 2, 1, 2, 1, 0, 1, 2, 1, 0, 0, 2, 0, 0, 2, 0, 1, 1, 1, 2, 0, 0, 1, 2, 1, 0, 0, 1, 0, 0, 2, 0, 2, 1, 0, 2, 1, 2, 0, 2, 1, 2, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 2, 0, 0, 1, 0, 0, 2, 2, 0, 2, 1, 0, 1, 0, 1, 1, 2, 2, 0, 1, 2, 0, 1, 1, 1, 2, 2, 0, 1, 2, 2, 1, 2, 2, 0, 2, 1, 1, 2, 1, 1, 2, 0, 0, 2, 2, 0, 0, 2, 2, 0, 1, 0, 1, 0, 1, 0, 0, 2, 1, 0, 1, 0, 2, 0, 0, 0, 1, 1, 2, 0, 1, 2, 2, 0, 1, 0, 2, 2, 0, 0] |Fitness: 1272.01
Individual #9 [3, 18, 1, 0, 1, 0, 0, 0, 0, 2, 0, 2, 1, 2, 0, 1, 2, 1, 0, 2, 2, 2, 2, 2, 1, 2, 0, 0, 1, 0, 1, 1, 0, 2, 2, 0, 2, 0, 1, 1, 1, 1, 1, 2, 1, 0, 1, 1, 2, 0, 2, 1, 2, 0, 2, 2, 0, 1, 2, 2, 2, 2, 1, 1, 0, 1, 2, 0, 1, 2, 2, 1, 2, 1, 0, 1, 2, 1, 0, 0, 2, 0, 0, 2, 0, 1, 0, 1, 2, 0, 0, 1, 2, 1, 0, 0, 1, 0, 0, 2, 0, 2, 1, 0, 2, 1, 2, 0, 2, 1, 2, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 2, 0, 0, 1, 0, 0, 2, 2, 0, 2, 1, 0, 1, 0, 1, 1, 2, 2, 0, 1, 2, 0, 1, 1, 1, 2, 2, 0, 1, 2, 2, 1, 2, 2, 0, 2, 1, 1, 2, 1, 1, 2, 0, 0, 2, 2, 0, 0, 2, 2, 0, 1, 0, 1, 0, 1, 0, 0, 2, 1, 0, 1, 0, 2, 0, 0, 0, 1, 1, 2, 0, 1, 2, 2, 0, 1, 0, 2, 2, 0, 0] |Fitness: 1272.08
