--------------------------------------------------
Population # 150 | Best: 313.83 Avg: 315.07, Worst: 316.02 
--------------------------------------------------
Individual #0 [3, 17, 3, 3, 0, 2, 2, 0, 4, 2, 1, 1, 3, 1, 0, 4, 0, 4, 0, 4, 3, 3, 2, 1, 0, 2, 4, 0, 3, 2, 2, 2, 2, 3, 3, 2, 0, 2, 4, 3, 1, 4, 0, 4, 4, 2, 1, 3, 4, 0, 1, 0] |Fitness: 313.83
Individual #1 [3, 17, 3, 3, 0, 2, 2, 0, 4, 2, 1, 1, 3, 1, 0, 4, 0, 4, 0, 4, 3, 3, 2, 1, 0, 2, 4, 0, 3, 2, 2, 2, 2, 3, 3, 2, 0, 2, 4, 3, 1, 1, 0, 4, 4, 2, 1, 3, 4, 0, 1, 0] |Fitness: 313.96
Individual #2 [3, 17, 3, 3, 0, 2, 2, 0, 4, 2, 1, 1, 3, 1, 0, 4, 0, 4, 0, 4, 3, 3, 2, 1, 0, 2, 4, 0, 3, 2, 2, 2, 2, 3, 3, 2, 0, 2, 4, 3, 1, 4, 3, 4, 4, 2, 1, 3, 4, 0, 1, 0] |Fitness: 314.19
Individual #3 [3, 17, 3, 3, 0, 2, 2, 4, 4, 2, 1, 1, 3, 1, 0, 4, 0, 4, 0, 4, 3, 3, 2, 1, 0, 2, 4, 0, 3, 0, 4, 2, 2, 3, 3, 2, 0, 2, 4, 3, 1, 4, 0, 4, 4, 2, 1, 3, 4, 0, 1, 0] |Fitness: 315.28
Individual #4 [3, 17, 3, 3, 0, 2, 2, 0, 4, 2, 1, 1, 3, 1, 0, 4, 0, 4, 0, 4, 3, 3, 2, 1, 0, 2, 4, 0, 3, 0, 2, 2, 2, 3, 3, 2, 0, 2, 4, 3, 1, 4, 0, 4, 4, 2, 1, 3, 4, 0, 1, 0] |Fitness: 315.37
Individual #5 [3, 17, 3, 3, 0, 2, 2, 0, 4, 2, 1, 1, 3, 1, 0, 4, 0, 4, 0, 4, 3, 3, 2, 1, 0, 2, 4, 0, 3, 0, 2, 2, 2, 3, 3, 2, 0, 2, 4, 3, 1, 4, 3, 4, 4, 2, 1, 3, 4, 0, 1, 0] |Fitness: 315.43
Individual #6 [3, 17, 3, 3, 0, 2, 2, 0, 4, 2, 1, 1, 3, 1, 0, 4, 0, 4, 0, 4, 3, 3, 2, 1, 0, 2, 4, 0, 3, 0, 4, 2, 2, 3, 3, 2, 0, 2, 4, 3, 1, 1, 0, 4, 4, 2, 1, 3, 4, 0, 1, 0] |Fitness: 315.51
Individual #7 [3, 17, 3, 3, 0, 2, 2, 4, 4, 2, 1, 1, 3, 1, 0, 4, 0, 4, 0, 4, 3, 3, 2, 1, 0, 2, 4, 0, 3, 0, 4, 2, 2, 3, 3, 2, 0, 2, 4, 3, 1, 4, 3, 4, 4, 2, 1, 3, 4, 0, 1, 0] |Fitness: 315.54
Individual #8 [3, 17, 3, 3, 0, 2, 2, 0, 4, 2, 1, 1, 3, 1, 0, 4, 0, 4, 0, 4, 3, 3, 2, 1, 0, 2, 4, 0, 3, 0, 4, 2, 2, 3, 3, 2, 0, 2, 4, 3, 1, 4, 3, 4, 4, 2, 1, 3, 4, 0, 1, 0] |Fitness: 315.57
Individual #9 [3, 17, 3, 3, 0, 2, 2, 0, 4, 2, 1, 1, 3, 1, 0, 4, 0, 4, 0, 4, 3, 3, 2, 1, 0, 2, 4, 0, 3, 0, 2, 2, 2, 3, 3, 2, 0, 2, 4, 3, 1, 1, 0, 4, 4, 2, 1, 3, 4, 0, 1, 0] |Fitness: 316.02
